Designator,Mid X,Mid Y,Rotation,Layer
R25,174.876827,-100.712258,180.0,bottom
R26,130.499327,-101.675,180.0,top
R27,130.449327,-100.075,0.0,top
R28,179.349327,-103.075,90.0,bottom
R29,177.976827,-100.712258,0.0,bottom
R3,137.449327,-96.475,0.0,bottom
R30,147.926827,-89.737258,270.0,top
R31,162.276827,-106.412258,90.0,top
R32,144.726827,-89.712258,270.0,top
R33,146.326827,-89.712258,270.0,top
R34,163.2,-83.025,90.0,top
R35,174.8,-83.175,90.0,top
R36,131.4,-89.3,270.0,top
R37,135.476827,-86.387258,90.0,top
R38,147.251827,-97.112258,0.0,top
R39,132.6,-91.6,0.0,top
R4,163.376827,-101.887258,90.0,top
R40,140.151827,-113.212258,180.0,top
R41,136.451827,-112.387258,270.0,top
R42,134.901827,-112.387258,270.0,top
R43,142.876827,-109.762258,270.0,top
R44,144.476827,-109.762258,270.0,top
R45,146.076827,-109.762258,270.0,top
R46,178.375,-85.4,180.0,top
R47,165.8,-82.025,270.0,top
R5,165.076827,-101.912258,90.0,top
R6,173.074327,-107.447016,90.0,top
R7,167.276827,-106.487258,90.0,top
R8,146.049327,-93.475,0.0,bottom
R9,148.474327,-99.675,0.0,bottom
S1,140.076827,-88.012258,270.0,top
S2,128.1,-94.9,270.0,top
T1,176.026827,-98.467258,270.0,top
TP1,176.0,-108.4,0.0,top
TP2,180.2,-83.6,0.0,top
TP3,165.6,-79.4,0.0,top
TP4,146.176827,-83.012258,0.0,top
TP5,130.17,-93.97,0.0,bottom
TP6,131.676827,-102.912258,0.0,bottom
TP7,128.276827,-97.812258,0.0,bottom
TP8,162.276827,-81.112258,0.0,bottom
TP9,157.4,-80.4,0.0,top
U1,148.076827,-115.294758,90.0,top
U3,156.249327,-107.894001,90.0,top
U4,170.976827,-103.462258,270.0,bottom
U5,138.8927,-98.025,0.0,top
U6,175.726827,-96.549758,90.0,bottom
U7,142.776827,-97.212258,90.0,bottom
Y2,139.876827,-107.987258,270.0,top
Y3,161.976827,-88.162258,270.0,top
